OrderNumber,CustomerID,Name,Address,City,Country,Continent,PurchaseDate,PaymentMethod,Product,ProductCategory,Quantity,ProductID,ProductPrice,CostPrice,DiscountPercentage,DiscountedPrice,FinalPrice,Profit,WarrantyPeriod
ORD0643474,CUST000001,Amir Aravind,"3511 Sarah Island Apt. 397, Mumbai, India",Mumbai,India,Asia,4/23/2023,PayPal,Atomic Habits,Books,4,BOOK100,14.77,10.19,25.06,11.07,44.28,3.52,No Warranty
ORD0643473,CUST000001,Amir Aravind,"3511 Sarah Island Apt. 397, Mumbai, India",Mumbai,India,Asia,5/20/2022,PayPal,Adidas Ultraboost,Clothing,1,CLOT100,160,102.77,19.95,128.08,128.08,25.31,No Warranty
ORD0643473,CUST000001,Amir Aravind,"3511 Sarah Island Apt. 397, Mumbai, India",Mumbai,India,Asia,12/5/2021,PayPal,Nike Air Max Shoes,Clothing,4,CLOT103,122.05,87.4,0,122.05,488.2,138.6,No Warranty
ORD0643474,CUST000001,Amir Aravind,"3511 Sarah Island Apt. 397, Mumbai, India",Mumbai,India,Asia,1/24/2022,PayPal,Levi's 501 Jeans,Clothing,5,CLOT110,439.59,308.29,6.34,411.72,2058.6,517.15,No Warranty
ORD0643474,CUST000001,Amir Aravind,"3511 Sarah Island Apt. 397, Mumbai, India",Mumbai,India,Asia,3/30/2023,PayPal,Levi's 501 Jeans,Clothing,1,CLOT110,130.02,91.5,17.41,107.38,107.38,15.88,No Warranty
ORD0643473,CUST000001,Amir Aravind,"3511 Sarah Island Apt. 397, Mumbai, India",Mumbai,India,Asia,8/18/2020,PayPal,iPhone 14 Pro,Electronics,3,ELEC112,583.57,405.34,23.18,448.3,1344.9,128.88,7 months
ORD0643474,CUST000001,Amir Aravind,"3511 Sarah Island Apt. 397, Mumbai, India",Mumbai,India,Asia,7/22/2022,PayPal,Sony WH-1000XM5 Headphones,Electronics,4,ELEC112,948.96,595.99,19.17,767.04,3068.16,684.2,17 months
ORD0643474,CUST000001,Amir Aravind,"3511 Sarah Island Apt. 397, Mumbai, India",Mumbai,India,Asia,9/20/2020,PayPal,Sealy Posturepedic Mattress,Furniture,2,FURN112,889.09,680.54,26.98,649.21,1298.42,-62.66,18 months
ORD0643473,CUST000001,Amir Aravind,"3511 Sarah Island Apt. 397, Mumbai, India",Mumbai,India,Asia,10/9/2024,PayPal,Free-Range Eggs,Groceries,4,GROC101,49.94,34.47,0,49.94,199.76,61.88,No Warranty
ORD0643476,CUST000002,Lori Stout,"8877 Kathy Forks, Melbourne, Australia",Melbourne,Australia,Oceania,10/16/2021,Debit Card,Manga: Attack on Titan Vol. 1,Books,5,BOOK103,74.54,45.77,18.6,60.68,303.4,74.55,No Warranty
ORD0643475,CUST000002,Lori Stout,"8877 Kathy Forks, Melbourne, Australia",Melbourne,Australia,Oceania,1/10/2021,PayPal,The Great Gatsby,Books,5,BOOK112,25.57,18.05,16.57,21.33,106.65,16.4,No Warranty
ORD0643477,CUST000002,Lori Stout,"8877 Kathy Forks, Melbourne, Australia",Melbourne,Australia,Oceania,8/18/2021,Debit Card,Adidas Ultraboost,Clothing,3,CLOT100,54.62,37.28,7.4,50.58,151.74,39.9,No Warranty
ORD0643478,CUST000002,Lori Stout,"8877 Kathy Forks, Melbourne, Australia",Melbourne,Australia,Oceania,7/18/2020,Credit Card,Adidas Ultraboost,Clothing,5,CLOT100,477.22,376.95,27.66,345.22,1726.1,-158.65,No Warranty
ORD0643475,CUST000002,Lori Stout,"8877 Kathy Forks, Melbourne, Australia",Melbourne,Australia,Oceania,7/27/2020,PayPal,Levi's 501 Jeans,Clothing,3,CLOT110,65.61,44.34,13.75,56.59,169.77,36.75,No Warranty
ORD0643478,CUST000002,Lori Stout,"8877 Kathy Forks, Melbourne, Australia",Melbourne,Australia,Oceania,10/10/2024,Credit Card,Samsung Galaxy S23,Electronics,1,ELEC104,1058.11,641.79,0,1058.11,1058.11,416.32,16 months
ORD0643478,CUST000002,Lori Stout,"8877 Kathy Forks, Melbourne, Australia",Melbourne,Australia,Oceania,9/8/2024,Credit Card,IKEA Billy Bookcase,Furniture,3,FURN100,2823.55,2256.77,13.61,2439.26,7317.78,547.47,20 months
ORD0643479,CUST000002,Lori Stout,"8877 Kathy Forks, Melbourne, Australia",Melbourne,Australia,Oceania,1/13/2022,Credit Card,IKEA Billy Bookcase,Furniture,4,FURN100,2509.01,1752.82,17.91,2059.65,8238.6,1227.32,26 months
ORD0643477,CUST000002,Lori Stout,"8877 Kathy Forks, Melbourne, Australia",Melbourne,Australia,Oceania,9/12/2023,Debit Card,Fresh Apples,Groceries,4,GROC102,10.92,8.36,13.59,9.44,37.76,4.32,No Warranty
ORD0643478,CUST000002,Lori Stout,"8877 Kathy Forks, Melbourne, Australia",Melbourne,Australia,Oceania,10/16/2022,Credit Card,Fresh Apples,Groceries,3,GROC102,25.65,16.89,11.97,22.58,67.74,17.07,No Warranty
ORD0643478,CUST000002,Lori Stout,"8877 Kathy Forks, Melbourne, Australia",Melbourne,Australia,Oceania,2/13/2022,Credit Card,Organic Almond Milk,Groceries,3,GROC103,28.46,21.28,15.86,23.95,71.85,8.01,No Warranty
ORD0643480,CUST000003,Adrian Amir,"8372 Kathy Green Suite 073, Hyderabad, India",Hyderabad,India,Asia,5/15/2022,Debit Card,Manga: Attack on Titan Vol. 1,Books,4,BOOK103,82.23,51.6,19.85,65.91,263.64,57.24,No Warranty
ORD0643483,CUST000003,Adrian Amir,"8372 Kathy Green Suite 073, Hyderabad, India",Hyderabad,India,Asia,2/4/2021,PayPal,The Great Gatsby,Books,1,BOOK112,30.6,18.91,24.02,23.25,23.25,4.34,No Warranty
ORD0643480,CUST000003,Adrian Amir,"8372 Kathy Green Suite 073, Hyderabad, India",Hyderabad,India,Asia,8/14/2021,Debit Card,Adidas Ultraboost,Clothing,1,CLOT100,271.09,202.16,0,271.09,271.09,68.93,No Warranty
ORD0643480,CUST000003,Adrian Amir,"8372 Kathy Green Suite 073, Hyderabad, India",Hyderabad,India,Asia,11/4/2023,Debit Card,Nike Air Max Shoes,Clothing,3,CLOT103,451.92,296.98,0,451.92,1355.76,464.82,No Warranty
ORD0643481,CUST000003,Adrian Amir,"8372 Kathy Green Suite 073, Hyderabad, India",Hyderabad,India,Asia,7/13/2024,Debit Card,Nike Air Max Shoes,Clothing,5,CLOT103,482.69,303.5,15.83,406.28,2031.4,513.9,No Warranty
ORD0643483,CUST000003,Adrian Amir,"8372 Kathy Green Suite 073, Hyderabad, India",Hyderabad,India,Asia,4/13/2020,PayPal,North Face Jacket,Clothing,2,CLOT104,360.71,245.99,13.41,312.34,624.68,132.7,No Warranty
ORD0643482,CUST000003,Adrian Amir,"8372 Kathy Green Suite 073, Hyderabad, India",Hyderabad,India,Asia,8/5/2021,Online Wallet,Apple Watch Series 8,Electronics,4,ELEC102,663.57,516.56,24.45,501.33,2005.32,-60.92,27 months
ORD0643480,CUST000003,Adrian Amir,"8372 Kathy Green Suite 073, Hyderabad, India",Hyderabad,India,Asia,5/9/2020,Debit Card,Samsung Galaxy S23,Electronics,3,ELEC104,1404.92,962.56,28.81,1000.16,3000.48,112.8,26 months
ORD0643481,CUST000003,Adrian Amir,"8372 Kathy Green Suite 073, Hyderabad, India",Hyderabad,India,Asia,3/21/2022,Debit Card,iPhone 14 Pro,Electronics,5,ELEC112,1456.51,1036.94,6.91,1355.87,6779.35,1594.65,22 months
ORD0643482,CUST000003,Adrian Amir,"8372 Kathy Green Suite 073, Hyderabad, India",Hyderabad,India,Asia,6/15/2020,Online Wallet,Ashley Furniture Sofa,Furniture,5,FURN100,2345.04,1439.34,17.19,1941.93,9709.65,2512.95,16 months
ORD0643481,CUST000003,Adrian Amir,"8372 Kathy Green Suite 073, Hyderabad, India",Hyderabad,India,Asia,4/13/2023,Debit Card,IKEA Billy Bookcase,Furniture,5,FURN100,2560.98,1742.64,20.52,2035.47,10177.35,1464.15,13 months
ORD0643480,CUST000003,Adrian Amir,"8372 Kathy Green Suite 073, Hyderabad, India",Hyderabad,India,Asia,6/20/2024,Debit Card,Free-Range Eggs,Groceries,5,GROC101,2.38,1.68,18.97,1.93,9.65,1.25,No Warranty
ORD0643482,CUST000003,Adrian Amir,"8372 Kathy Green Suite 073, Hyderabad, India",Hyderabad,India,Asia,11/29/2023,Online Wallet,Organic Almond Milk,Groceries,2,GROC103,42.94,30.13,13.93,36.96,73.92,13.66,No Warranty
ORD0643481,CUST000003,Adrian Amir,"8372 Kathy Green Suite 073, Hyderabad, India",Hyderabad,India,Asia,11/20/2022,Debit Card,Whole Wheat Bread,Groceries,3,GROC113,45.96,28.26,27.7,33.23,99.69,14.91,No Warranty
ORD0643483,CUST000003,Adrian Amir,"8372 Kathy Green Suite 073, Hyderabad, India",Hyderabad,India,Asia,10/25/2024,PayPal,Whole Wheat Bread,Groceries,2,GROC113,49.25,33.61,29.13,34.9,69.8,2.58,No Warranty
